player.name,team.name,label,stoppedProgressCount,recoveredPossessionCount,totalDuels,stoppedProgressPercentage,recoveredPossessionPercentage
E. Martínez,Midtjylland,"Midtjylland - Vejle, 2 - 0",2,2,5,40.0,40.0
E. Martínez,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",4,2,8,50.0,25.0
E. Martínez,Midtjylland,"Silkeborg - Midtjylland, 1 - 3",7,2,12,58.333333333333336,16.666666666666664
E. Yeboah,Brøndby,"Brøndby - AGF, 0 - 1",False,False,1,0.0,0.0
E. Yeboah,Brøndby,"Lyngby - Brøndby, 0 - 2",2,2,2,100.0,100.0
E. Yeboah,Vejle,"Vejle - Viborg, 0 - 5",False,False,1,0.0,0.0
F. Alves,Brøndby,"AaB - Brøndby, 0 - 4",2,1,5,40.0,20.0
F. Alves,Brøndby,"Brøndby - Randers, 2 - 2",10,6,13,76.92307692307693,46.15384615384615
F. Alves,Brøndby,"København - Brøndby, 3 - 1",2,2,5,40.0,40.0
F. Alves,Brøndby,"Lyngby - Brøndby, 0 - 2",3,1,3,100.0,33.33333333333333
F. Beijmo,AGF,"AGF - Midtjylland, 1 - 1",5,2,6,83.33333333333334,33.33333333333333
F. Beijmo,AGF,"AGF - Nordsjælland, 4 - 2",2,0,2,100.0,0.0
F. Beijmo,AGF,"AGF - Silkeborg, 1 - 1",1,0,2,50.0,0.0
F. Beijmo,AGF,"AGF - SønderjyskE, 4 - 0",2,0,4,50.0,0.0
F. Beijmo,AGF,"AGF - Vejle, 5 - 1",False,False,1,0.0,0.0
F. Beijmo,AGF,"AaB - AGF, 0 - 4",5,0,6,83.33333333333334,0.0
F. Beijmo,AGF,"Brøndby - AGF, 0 - 1",5,1,10,50.0,10.0
F. Beijmo,AGF,"København - AGF, 3 - 2",6,3,9,66.66666666666666,33.33333333333333
F. Brandhof,AGF,"AGF - Midtjylland, 1 - 1",2,0,4,50.0,0.0
F. Brandhof,AGF,"AGF - Nordsjælland, 4 - 2",1,0,2,50.0,0.0
F. Brandhof,AGF,"AGF - Silkeborg, 1 - 1",0,0,2,0.0,0.0
