PLAYER_WYID,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
624752,"OB U19 - Nordsjælland U19, 0 - 0 (P)",6,4,3,66.67,50.0
624752,"OB U19 - Silkeborg U19, 2 - 0",5,5,1,100.0,20.0
624752,"OB U19 - Vejle U19, 4 - 0",4,3,3,75.0,75.0
624752,"SønderjyskE U19 - OB U19, 1 - 3",8,6,4,75.0,50.0
624752,"Vejle U19 - OB U19, 0 - 1",1,0,0,0.0,0.0
624760,"Silkeborg U19 - Horsens U19, 1 - 1 (P)",4,2,0,50.0,0.0
624784,"AaB U19 - Silkeborg U19, 4 - 2",2,0,0,0.0,0.0
624784,"Horsens U19 - Silkeborg U19, 3 - 0",3,1,0,33.33,0.0
624784,"København U19 - Silkeborg U19, 2 - 0",4,2,1,50.0,25.0
624784,"Lyngby U19 - Silkeborg U19, 2 - 2 (P)",1,0,0,0.0,0.0
624784,"Midtjylland U19 - Silkeborg U19, 2 - 3",11,8,3,72.73,27.27
624784,"Nordsjælland U19 - Silkeborg U19, 3 - 0",4,3,0,75.0,0.0
624784,"Silkeborg U19 - AGF U19, 0 - 1",9,4,2,44.44,22.22
624784,"Silkeborg U19 - AaB U19, 2 - 2 (P)",11,8,1,72.73,9.09
624784,"Silkeborg U19 - Horsens U19, 1 - 1 (P)",3,1,0,33.33,0.0
624784,"Silkeborg U19 - København U19, 3 - 3 (P)",10,7,3,70.0,30.0
624784,"Silkeborg U19 - Midtjylland U19, 1 - 5",1,1,1,100.0,100.0
624784,"Silkeborg U19 - OB U19, 2 - 3",8,5,3,62.5,37.5
624784,"Silkeborg U19 - Randers U19, 2 - 0",3,2,1,66.67,33.33
624784,"Vejle U19 - Silkeborg U19, 0 - 1",3,2,0,66.67,0.0
624791,"Horsens U19 - Silkeborg U19, 3 - 0",9,7,4,77.78,44.44
624808,"AGF U19 - Sønderjyske U19, 2 - 3",1,1,0,100.0,0.0
624808,"SønderjyskE U19 - AaB U19, 0 - 2",2,2,0,100.0,0.0
624820,"AaB U19 - SønderjyskE U19, 1 - 1",9,3,0,33.33,0.0
624820,"Brøndby U19 - SønderjyskE U19, 5 - 2",5,3,3,60.0,60.0
624820,"Esbjerg U19 - SønderjyskE U19, 2 - 0",4,4,2,100.0,50.0
624820,"Horsens U19 - SønderjyskE U19, 3 - 1",7,3,1,42.86,14.29
624820,"København U19 - Sønderjyske U19, 3 - 2",13,8,3,61.54,23.08
624820,"Lyngby U19 - SønderjyskE U19, 4 - 3",4,2,1,50.0,25.0
624820,"Midtjylland U19 - SønderjyskE U19, 5 - 0",9,7,4,77.78,44.44
624820,"Nordsjælland U19 - SønderjyskE U19, 3 - 0",4,2,0,50.0,0.0
624820,"OB U19 - Sønderjyske U19, 1 - 0",6,4,0,66.67,0.0
624820,"Randers U19 - SønderjyskE U19, 0 - 2",6,4,3,66.67,50.0
624820,"SønderjyskE U19 - AaB U19, 0 - 2",9,8,0,88.89,0.0
624820,"SønderjyskE U19 - København U19, 2 - 0",12,9,1,75.0,8.33
624820,"SønderjyskE U19 - OB U19, 1 - 3",4,4,1,100.0,25.0
624820,"Sønderjyske U19 - Brøndby U19, 2 - 1",8,6,0,75.0,0.0
624820,"Sønderjyske U19 - Lyngby U19, 3 - 1",5,5,3,100.0,60.0
624820,"Sønderjyske U19 - Randers U19, 1 - 2",8,5,2,62.5,25.0
624820,"Sønderjyske U19 - Silkeborg U19, 1 - 1 (P)",12,6,4,50.0,33.33
624820,"Vejle U19 - Sønderjyske U19, 1 - 3",4,3,2,75.0,50.0
624824,"AaB U19 - SønderjyskE U19, 1 - 1",3,3,1,100.0,33.33
624824,"Horsens U19 - SønderjyskE U19, 3 - 1",3,2,0,66.67,0.0
624824,"Nordsjælland U19 - SønderjyskE U19, 3 - 0",4,2,0,50.0,0.0
624824,"SønderjyskE U19 - AGF U19, 1 - 2",7,3,1,42.86,14.29
624824,"SønderjyskE U19 - København U19, 2 - 0",14,6,4,42.86,28.57
624824,"SønderjyskE U19 - OB U19, 1 - 3",5,3,1,60.0,20.0
624824,"SønderjyskE U19 - Vejle U19, 2 - 3",8,5,1,62.5,12.5
624824,"Sønderjyske U19 - Brøndby U19, 2 - 1",3,2,1,66.67,33.33
625204,"Brøndby U19 - AaB U19, 5 - 0",3,1,1,33.33,33.33
625204,"Brøndby U19 - Horsens U19, 2 - 3",3,2,2,66.67,66.67
625204,"Brøndby U19 - Lyngby U19, 4 - 1",3,1,0,33.33,0.0
625204,"Esbjerg U19 - Brøndby U19, 4 - 2",4,0,0,0.0,0.0
625204,"Nordsjælland U19 - Brøndby U19, 1 - 0",1,0,0,0.0,0.0
